split,path,n_samples,accuracy,macro_f1,mean_confidence,std_confidence,pred_distribution,true_distribution
id,C:\Users\ayush\OneDrive\Desktop\sem 4\prnew14th\dataset\test_set.csv,80,1.0,1.0,59.12450243865878,16.296057812950647,"{'Anumana': 22.0, 'Pratyaksha': 22.0, 'Shabda': 14.0, 'Upamana': 22.0}","{'Anumana': 22.0, 'Pratyaksha': 22.0, 'Shabda': 14.0, 'Upamana': 22.0}"
ood,C:\Users\ayush\OneDrive\Desktop\sem 4\prnew14th\dataset\real_world_dataset_v2.csv,80,0.55,0.2952380952380952,36.747968205614356,12.35009401858644,"{'Anumana': 48.0, 'Pratyaksha': 20.0, 'Shabda': 6.0, 'Upamana': 6.0}","{'Anumana': 30.0, 'Pratyaksha': 50.0, 'Shabda': 0.0, 'Upamana': 0.0}"
